$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$
0,0,0,0,1,0,0,1,2,2,96,5982.94384766,0,0,0,2,0,0
1,0,0,1,1,0,0,0,2,2,96,6282.78662109,0,1,0,0,1,0
1,0,0,1,1,0,0,1,2,2,96,6482.77783203,0,1,0,2,1,0
0,0,1,0,1,0,1,1,0,1,96,6082.92529297,0,0,2,2,0,0
0,1,1,0,1,0,1,0,0,1,96,6282.93212891,0,0,2,0,0,0
0,1,1,1,1,0,0,1,1,1,96,6682.94238281,0,0,1,2,1,0
0,1,0,0,1,0,0,1,2,2,96,6382.92529297,0,0,1,2,0,0
1,0,1,0,1,0,0,0,0,1,96,6282.80224609,1,3,0,1,0,0
0,0,0,1,1,0,1,0,1,1,96,6157.90625,0,0,2,0,1,0
0,1,0,1,1,0,1,1,0,2,96,6482.66943359,0,0,1,2,0,0
0,0,1,0,1,0,1,0,1,2,96,6082.92529297,0,0,2,1,0,0
0,1,1,0,1,0,1,1,0,1,96,6482.91943359,0,0,2,2,0,0
0,0,0,1,1,0,0,2,2,2,96,6482.82128906,0,0,0,2,0,0
0,1,1,0,1,0,1,1,0,2,96,6382.546875,0,0,1,1,0,0
1,0,0,1,1,0,0,1,0,1,96,6582.80224609,1,3,0,2,0,0
1,0,1,0,1,0,0,1,1,2,96,6082.65576172,0,1,0,1,0,0
0,1,0,0,1,0,1,1,2,2,96,6782.66943359,0,0,1,2,0,0
1,0,1,0,1,0,0,0,0,2,96,5582.77832031,0,1,0,1,0,0
0,1,0,1,1,0,1,1,1,1,96,6882.80273438,0,0,2,2,0,0
0,1,0,0,1,0,1,1,1,2,96,6482.66943359,0,0,1,2,0,0
0,1,1,1,1,0,1,0,1,1,96,6882.93164062,0,0,2,0,1,0
0,1,0,1,1,0,1,1,1,2,96,6782.66943359,0,0,1,2,0,0
0,1,1,0,1,0,0,0,0,0,96,5982.94384766,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,96,6682.546875,0,0,1,1,0,0
0,1,0,0,1,0,1,1,0,1,96,6282.80273438,0,0,2,2,0,0
0,1,0,0,1,0,1,1,1,1,96,6582.80273438,0,0,2,2,0,0
0,1,1,0,1,0,1,1,1,1,96,6782.91943359,0,0,2,2,0,0
0,0,0,0,1,0,1,1,1,1,96,6057.89697266,0,0,2,2,0,0
0,1,0,1,1,0,1,0,0,1,96,6382.92529297,0,0,2,0,0,0
1,1,0,1,1,0,0,0,0,0,96,6882.80224609,1,3,0,0,0,0
1,0,0,0,1,0,0,0,0,2,96,5382.78857422,0,1,0,0,0,0
0,1,1,0,1,0,1,0,1,2,96,6482.66943359,0,0,1,1,0,0
0,0,1,0,1,0,1,1,0,2,96,5982.80273438,0,0,2,1,0,0
0,1,0,0,1,0,1,1,0,2,96,6182.66894531,0,0,1,2,0,0
0,1,1,1,1,0,1,0,0,1,96,6582.93212891,0,0,2,0,0,0
1,0,0,0,1,0,0,1,1,2,96,5882.77832031,0,1,0,2,0,0
1,0,0,0,1,0,0,0,0,1,96,6082.92480469,1,3,0,0,0,0
0,0,0,1,1,0,1,0,2,2,96,6482.93408203,0,0,2,0,1,0
0,0,1,0,1,0,1,1,1,2,96,6282.80273438,0,0,2,1,0,0
0,0,1,1,1,0,1,1,0,1,96,6382.92529297,0,0,2,2,0,0
0,1,0,1,1,0,1,1,0,1,96,6582.80273438,0,0,2,2,0,0
0,0,0,1,1,0,1,1,1,1,96,6357.89697266,0,0,2,2,0,0
1,0,0,1,1,0,0,0,1,1,96,6682.92431641,1,3,0,0,1,0
1,0,0,1,1,0,0,1,0,2,96,5882.77832031,0,1,0,2,0,0
1,0,0,0,1,0,0,0,0,0,96,6057.89648438,1,3,0,0,0,0
0,1,0,1,1,0,0,1,1,2,96,6382.92529297,0,0,1,2,0,0
0,1,0,1,1,0,0,0,0,0,96,5957.91552734,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,96,7082.01367188,0,0,2,1,0,0
1,0,1,1,1,0,0,0,1,1,96,6882.80224609,1,3,0,1,0,0
0,1,0,1,1,0,0,0,0,1,96,5982.94384766,0,0,0,0,0,0
1,0,0,1,1,0,0,0,1,2,96,5982.78759766,0,1,0,0,1,0
0,1,0,0,1,0,0,0,1,2,96,5882.93505859,0,0,1,0,2,0
0,0,0,1,1,0,1,1,0,1,96,6057.89697266,0,0,2,2,0,0
0,0,0,0,1,0,1,1,1,2,96,6082.92529297,0,0,2,2,0,0
0,0,0,0,1,0,0,1,1,2,96,5682.94384766,0,0,0,2,0,0
0,0,1,0,1,0,0,2,2,2,96,6382.03173828,0,0,0,1,0,0
1,0,0,0,1,0,0,0,1,2,96,5682.78808594,0,1,0,0,2,0
1,0,0,1,1,0,0,1,1,2,96,6182.77832031,0,1,0,2,0,0
0,1,0,0,1,0,0,0,1,1,96,5982.94384766,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,1,96,6582.80224609,1,3,0,1,0,0
0,1,0,0,1,0,0,1,1,1,96,6182.82128906,0,0,0,2,0,0
1,1,0,1,1,0,0,0,1,1,96,7082.66894531,0,0,1,0,1,0
1,0,1,0,1,0,0,1,0,2,96,5782.65576172,0,1,0,1,0,0
0,0,1,0,1,0,0,1,0,1,96,5682.94384766,0,0,0,2,0,0
0,1,1,0,1,0,0,0,0,1,96,5882.95263672,0,0,1,0,0,0
0,0,1,0,1,0,1,1,2,2,96,6582.80273438,0,0,2,1,0,0
1,0,0,0,1,0,0,1,2,2,96,6182.77832031,0,1,0,2,0,0
0,0,0,1,1,0,0,0,0,0,96,5157.92578125,0,0,0,0,0,0
0,1,0,0,1,0,0,1,1,2,96,6082.92529297,0,0,1,2,0,0
0,0,0,1,1,0,0,0,2,2,96,6082.95214844,0,0,0,0,1,0
1,0,1,1,1,0,0,0,0,0,96,6682.92431641,1,3,0,0,1,0
0,1,0,1,1,0,1,1,2,2,96,7082.66894531,0,0,1,2,1,0
0,0,0,1,1,0,0,1,2,2,96,6282.94335938,0,0,0,2,1,0
1,0,1,0,1,0,0,0,1,1,96,6582.80224609,1,3,0,1,0,0
0,0,1,1,1,0,0,0,0,1,96,5782.953125,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,95,6682.54345703,0,0,1,1,0,0
0,0,0,1,1,0,1,2,1,2,95,6582.80224609,0,0,2,2,0,0
0,0,1,1,1,0,1,1,1,1,95,6682.92431641,0,0,2,2,1,0
0,0,0,1,1,0,1,1,1,1,95,6357.89648438,0,0,2,2,0,0
0,1,1,0,1,0,0,0,1,2,95,6082.92480469,0,0,1,1,0,0
0,0,1,0,1,0,1,1,2,2,95,6582.80224609,0,0,2,1,0,0
0,1,0,1,1,0,1,0,0,1,95,6382.92480469,0,0,2,0,0,0
0,0,0,1,1,0,1,2,2,2,95,6882.80224609,0,0,2,2,0,0
0,0,1,0,1,0,1,0,1,2,95,6082.92480469,0,0,2,1,0,0
0,0,1,0,1,0,0,0,0,2,95,5382.94384766,0,0,0,1,0,0
0,0,1,1,1,0,1,1,0,1,95,6382.92480469,0,0,2,2,0,0
